entnum;Ellix;fj;score;nom
431395326;IE4;5499;3;APPLICATIONS ET TECHNIQUES DE REVETEMENT DU BATIMENT
501144216;IE4;5499;2;MANCUP
487552440;IE4;5499;5;ET2C
502761729;IE4;5499;3;O2F
413364019;IE4;5499;4;IT BRUAY
788724177;IE4;5499;3;KFV ABEILLE
498808450;IE4;5499;7;MISTER TEA
509319240;IE4;5499;3;CEJIREST SARL
498157338;IE4;5499;6;LE CEOU
498157338;IE4;5499;6;LE CEOU
385067533;IE4;5499;3;STE D'EXPLOITATION DES ETABLISSEMENTS CLAUDE VIGNEAU
511828485;IE4;5498;4;INFINI SERVICES A DOMICILE
751182163;IE4;5720;5;NATARON
508877198;IE3;5498;3;LQS DISTRIBUTION
529524522;IE3;5498;2;DOLFI CONSEIL
528530710;IE4;5710;4;LABORATOIRES NAO
508877198;IE3;5498;3;LQS DISTRIBUTION
444635759;IE4;5710;3;BESSIERE
498042282;IE4;5498;5;BOULANGERIE BELLECOMBE
305825077;IE4;5499;5;ARDENNES BUREAU
352614663;IE4;5720;7;TF1 PRODUCTION
519796924;IE3;5499;2;SOMLE LE PLAQUISTE
480608967;IE4;5499;4;SARL SERGE BONNAT
538640129;IE4;5499;4;SARL S2I DIGITAL
752203216;IE4;5499;5;RD CONCEPT
532053501;IE4;5499;5;YD INVEST
341212629;IE4;5499;4;SARL SERRA DEAUVILLE
500723291;IE4;5499;2;AP CONSTRUCTION
519796924;IE3;5499;2;SOMLE LE PLAQUISTE
402360911;IE4;5498;5;GARAGE LOUEDEC EURL
492952692;IE4;5499;3;ENERA CONSEIL
527542336;IE4;5498;4;ARNAUD BARDIN TELECOMMUNICATIONS
793522269;IE4;5710;3;A L'OASIS
390860989;IE4;5499;5;ARCHES ETUDES
750227084;IE4;5499;4;LCDC
529289530;IE4;5498;4;SARL FREDERIC BARRE
750984619;IE4;5499;4;OZED COMPANY
478725724;IE4;5710;5;H T O
750984619;IE4;5499;4;OZED COMPANY
448345728;IE4;5498;5;MID- MANU INTERNET DIFFUSION
492953823;IE4;5499;2;MICRO DISCOUNT HAUTE-MARNE
523912079;IE4;5499;2;ALTECH GEOTHERMIE SOCIETE NOUVELLE
317428381;IE4;5710;5;NORMANDIE MANUTENTION
492681333;IE4;5498;5;BORDEAUX CONSEIL
749881934;IE4;5710;3;ALLSTORE
527591515;IE4;5710;7;BACKUP ESTATE
485110258;IE4;5499;4;MONA LISA
465501740;IE4;5710;4;SOCIETE G DENTENER
320734502;IE4;5710;7;TF1 FILMS PRODUCTION
538914011;NA;1200;6;PUYSSERVERT Cecile
450989918;IE4;5499;4;LIVE WELL
